                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.96669,                0.73492,                 1.1823,                 0.9009,                0.92661,                0.95534,                0.74648,                0.84509,                0.45069,                 1.1237,              0.0054955,              0.0054955,              0.0054955
                     93,                0.96731,                0.73098,                 1.1804,                0.90062,                0.92748,                0.95553,                0.74737,                0.84407,                0.44973,                  1.123,               0.005446,               0.005446,               0.005446
                     94,                 0.9619,                0.72958,                 1.1781,                0.90138,                 0.9279,                0.95594,                 0.7481,                0.84289,                0.44793,                 1.1222,              0.0053965,              0.0053965,              0.0053965
                     95,                0.95622,                0.72288,                 1.1741,                0.90233,                0.92838,                0.95608,                 0.7488,                0.84172,                0.44691,                 1.1215,               0.005347,               0.005347,               0.005347
                     96,                0.96362,                0.73279,                 1.1787,                0.90366,                 0.9275,                0.95637,                0.74959,                0.84067,                0.44573,                 1.1207,              0.0052975,              0.0052975,              0.0052975
                     97,                0.95652,                0.72748,                 1.1758,                0.90471,                0.92739,                0.95667,                0.75035,                0.83947,                0.44466,                   1.12,               0.005248,               0.005248,               0.005248
                     98,                0.95592,                0.72225,                  1.178,                0.90533,                0.92776,                0.95701,                 0.7508,                0.83816,                0.44344,                 1.1191,              0.0051985,              0.0051985,              0.0051985
                     99,                0.95283,                0.71638,                 1.1739,                0.90561,                0.92823,                0.95718,                 0.7511,                0.83714,                0.44247,                 1.1185,               0.005149,               0.005149,               0.005149
                    100,                  0.953,                0.70948,                 1.1731,                0.90713,                0.92819,                0.95739,                0.75188,                0.83615,                0.44158,                 1.1178,              0.0050995,              0.0050995,              0.0050995
                    101,                0.95269,                0.71621,                 1.1746,                0.90734,                0.92889,                0.95767,                0.75216,                0.83496,                0.44062,                 1.1169,                0.00505,                0.00505,                0.00505
                    102,                 0.9536,                0.71436,                  1.174,                0.90595,                0.93031,                0.95788,                0.75246,                0.83396,                0.43996,                 1.1162,              0.0050005,              0.0050005,              0.0050005
                    103,                 0.9516,                 0.7063,                 1.1738,                 0.9069,                0.92991,                0.95804,                0.75308,                0.83306,                0.43917,                 1.1156,               0.004951,               0.004951,               0.004951
                    104,                0.95407,                0.71218,                  1.178,                 0.9058,                0.93134,                0.95844,                0.75362,                0.83225,                0.43837,                 1.1152,              0.0049015,              0.0049015,              0.0049015
                    105,                0.95073,                0.70535,                 1.1735,                0.90748,                0.93056,                0.95866,                0.75411,                0.83139,                0.43757,                 1.1146,               0.004852,               0.004852,               0.004852
                    106,                0.95743,                0.70381,                 1.1768,                0.90756,                0.93085,                0.95885,                0.75416,                0.83062,                0.43682,                 1.1141,              0.0048025,              0.0048025,              0.0048025
                    107,                0.94473,                0.70271,                 1.1692,                0.90774,                  0.931,                0.95909,                0.75456,                0.82971,                0.43606,                 1.1135,               0.004753,               0.004753,               0.004753
                    108,                0.94537,                0.70152,                 1.1676,                0.90864,                0.93067,                0.95928,                0.75529,                0.82891,                0.43541,                  1.113,              0.0047035,              0.0047035,              0.0047035
